Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.63 0.21,0.64 0.32,0.57 0.32,0.54 0.45,0.52 0.58,0.70 0.32,0.73 0.45,0.73 0.59,0.58 0.59,0.56 0.78,0.58 0.91,0.67 0.59,0.67 0.82,0.66 0.97,0.62 0.20,0.65 0.20,0.61 0.21,0.67 0.21
0.56 0.26,0.56 0.32,0.51 0.31,0.46 0.23,0.46 0.13,0.60 0.31,0.64 0.24,0.66 0.15,0.51 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.83,0.55 0.25,0.57 0.25,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.30,0.51 0.30,0.49 0.21,0.48 0.11,0.60 0.30,0.63 0.24,0.65 0.14,0.52 0.52,0.50 0.68,0.47 0.84,0.58 0.52,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.30,0.51 0.30,0.49 0.21,0.48 0.11,0.60 0.30,0.63 0.23,0.65 0.14,0.52 0.52,0.50 0.68,0.47 0.85,0.58 0.52,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.25,0.57 0.25
0.56 0.26,0.56 0.30,0.51 0.30,0.49 0.20,0.48 0.11,0.60 0.30,0.63 0.24,0.65 0.14,0.52 0.52,0.50 0.68,0.48 0.84,0.58 0.52,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.32,0.51 0.31,0.47 0.23,0.48 0.12,0.60 0.31,0.64 0.25,0.66 0.15,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.53,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.25,0.57 0.25
0.56 0.26,0.56 0.32,0.50 0.32,0.44 0.28,0.46 0.20,0.60 0.33,0.67 0.31,0.65 0.21,0.52 0.54,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.44 0.35,0.44 0.27,0.60 0.33,0.67 0.36,0.66 0.27,0.52 0.53,0.50 0.69,0.48 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.51 0.33,0.44 0.38,0.44 0.29,0.60 0.33,0.66 0.39,0.66 0.30,0.52 0.54,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.26,0.58 0.25
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.40,0.44 0.32,0.60 0.34,0.65 0.41,0.66 0.32,0.52 0.54,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.26,0.58 0.25
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.40,0.44 0.32,0.61 0.33,0.65 0.41,0.66 0.33,0.52 0.54,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.25
0.56 0.26,0.56 0.33,0.51 0.33,0.45 0.39,0.44 0.31,0.60 0.34,0.65 0.40,0.66 0.32,0.52 0.54,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.32,0.44 0.32,0.44 0.23,0.60 0.33,0.67 0.34,0.66 0.24,0.52 0.53,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.44 0.26,0.45 0.16,0.61 0.32,0.66 0.28,0.66 0.18,0.52 0.54,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.82,0.55 0.25,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.31,0.51 0.31,0.47 0.23,0.47 0.12,0.60 0.31,0.65 0.24,0.66 0.15,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.53,0.59 0.71,0.60 0.82,0.55 0.25,0.56 0.24,0.53 0.25,0.57 0.25
0.56 0.26,0.56 0.31,0.51 0.32,0.48 0.23,0.47 0.11,0.60 0.31,0.63 0.24,0.65 0.14,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.31,0.52 0.32,0.49 0.23,0.48 0.11,0.60 0.32,0.63 0.23,0.66 0.14,0.52 0.53,0.50 0.69,0.47 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.54 0.25,0.56 0.24,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.31,0.51 0.32,0.48 0.22,0.48 0.11,0.60 0.32,0.63 0.24,0.65 0.14,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.45 0.24,0.46 0.15,0.60 0.32,0.66 0.26,0.66 0.17,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.53,0.59 0.70,0.60 0.82,0.55 0.25,0.56 0.25,0.53 0.26,0.57 0.25
0.56 0.26,0.56 0.32,0.50 0.32,0.43 0.30,0.44 0.21,0.60 0.33,0.67 0.31,0.65 0.22,0.52 0.54,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.54 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.32,0.44 0.34,0.44 0.26,0.60 0.33,0.67 0.36,0.65 0.27,0.52 0.53,0.50 0.69,0.48 0.83,0.58 0.53,0.59 0.70,0.60 0.83,0.54 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.44 0.37,0.44 0.29,0.60 0.33,0.66 0.38,0.65 0.29,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.61 0.83,0.54 0.24,0.56 0.24,0.53 0.26,0.57 0.25
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.39,0.44 0.30,0.61 0.33,0.66 0.40,0.65 0.31,0.51 0.54,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.54 0.25,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.40,0.44 0.32,0.60 0.33,0.65 0.40,0.65 0.32,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.71,0.60 0.83,0.54 0.25,0.56 0.24,0.53 0.26,0.58 0.25
0.55 0.26,0.56 0.33,0.50 0.33,0.45 0.41,0.44 0.33,0.60 0.33,0.65 0.41,0.65 0.32,0.52 0.54,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.71,0.60 0.83,0.54 0.25,0.56 0.24,0.53 0.26,0.58 0.25
0.56 0.26,0.56 0.33,0.50 0.33,0.46 0.41,0.44 0.33,0.60 0.33,0.65 0.41,0.65 0.33,0.51 0.53,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.54 0.25,0.56 0.24,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.39,0.44 0.30,0.60 0.33,0.66 0.39,0.65 0.30,0.52 0.54,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.71,0.60 0.83,0.54 0.25,0.56 0.25,0.53 0.26,0.57 0.25
0.55 0.26,0.55 0.33,0.50 0.32,0.44 0.30,0.44 0.22,0.60 0.33,0.67 0.31,0.66 0.22,0.52 0.53,0.50 0.68,0.47 0.85,0.58 0.53,0.59 0.70,0.60 0.83,0.54 0.25,0.56 0.25,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.45 0.24,0.46 0.15,0.60 0.32,0.66 0.26,0.66 0.16,0.51 0.53,0.50 0.69,0.47 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.26,0.57 0.25
0.56 0.26,0.56 0.32,0.51 0.32,0.47 0.23,0.47 0.12,0.60 0.31,0.64 0.25,0.66 0.15,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.48 0.23,0.47 0.11,0.59 0.32,0.64 0.24,0.66 0.14,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.48 0.24,0.47 0.11,0.59 0.32,0.64 0.24,0.66 0.14,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.46 0.24,0.46 0.14,0.60 0.32,0.66 0.26,0.66 0.17,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.82,0.55 0.25,0.56 0.25,0.53 0.26,0.57 0.25
0.55 0.26,0.56 0.32,0.50 0.32,0.44 0.29,0.45 0.21,0.60 0.33,0.67 0.31,0.66 0.22,0.52 0.54,0.50 0.68,0.48 0.83,0.58 0.54,0.59 0.70,0.60 0.83,0.54 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.50 0.33,0.44 0.34,0.44 0.26,0.60 0.33,0.67 0.35,0.65 0.27,0.51 0.54,0.50 0.68,0.48 0.83,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.26,0.58 0.25
0.55 0.25,0.56 0.32,0.50 0.32,0.44 0.37,0.44 0.28,0.60 0.33,0.67 0.38,0.65 0.29,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.83,0.54 0.24,0.56 0.24,0.53 0.25,0.57 0.24
0.55 0.26,0.56 0.33,0.50 0.33,0.45 0.38,0.44 0.30,0.60 0.33,0.66 0.39,0.66 0.30,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.54 0.24,0.56 0.24,0.53 0.25,0.57 0.25
0.55 0.26,0.56 0.33,0.50 0.33,0.45 0.39,0.44 0.30,0.61 0.33,0.66 0.40,0.65 0.31,0.51 0.53,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.54 0.24,0.56 0.24,0.53 0.26,0.58 0.25
0.55 0.26,0.56 0.33,0.50 0.33,0.46 0.40,0.44 0.32,0.60 0.33,0.66 0.40,0.65 0.32,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.71,0.60 0.83,0.54 0.24,0.56 0.24,0.53 0.26,0.58 0.25
0.56 0.26,0.56 0.33,0.50 0.33,0.46 0.41,0.44 0.33,0.60 0.33,0.65 0.41,0.66 0.32,0.52 0.53,0.50 0.68,0.48 0.83,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.26,0.58 0.25
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.39,0.44 0.30,0.60 0.33,0.66 0.40,0.65 0.31,0.52 0.54,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.71,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.26,0.58 0.25
0.56 0.26,0.56 0.33,0.50 0.32,0.44 0.29,0.45 0.21,0.60 0.33,0.67 0.30,0.66 0.22,0.52 0.53,0.50 0.67,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.25,0.57 0.25
0.56 0.26,0.56 0.32,0.51 0.32,0.46 0.24,0.46 0.14,0.60 0.32,0.66 0.26,0.66 0.16,0.52 0.53,0.50 0.68,0.48 0.83,0.58 0.53,0.59 0.70,0.60 0.82,0.55 0.25,0.56 0.24,0.53 0.25,0.57 0.25
0.56 0.26,0.56 0.31,0.51 0.31,0.47 0.23,0.47 0.12,0.60 0.30,0.64 0.24,0.66 0.14,0.52 0.53,0.50 0.69,0.48 0.84,0.58 0.52,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.25,0.57 0.25
0.56 0.26,0.56 0.31,0.51 0.32,0.48 0.23,0.47 0.11,0.60 0.31,0.64 0.24,0.66 0.14,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.47 0.23,0.47 0.13,0.60 0.32,0.65 0.26,0.66 0.16,0.52 0.53,0.50 0.68,0.48 0.83,0.58 0.53,0.59 0.70,0.60 0.82,0.55 0.25,0.56 0.24,0.53 0.26,0.57 0.25
0.56 0.26,0.56 0.33,0.51 0.33,0.44 0.29,0.44 0.21,0.60 0.33,0.67 0.32,0.65 0.22,0.52 0.53,0.50 0.67,0.48 0.83,0.58 0.53,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.51 0.33,0.44 0.34,0.44 0.26,0.60 0.33,0.67 0.36,0.66 0.27,0.52 0.54,0.50 0.68,0.48 0.83,0.58 0.54,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.51 0.33,0.44 0.37,0.43 0.28,0.60 0.33,0.67 0.38,0.66 0.29,0.52 0.54,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.71,0.61 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.44 0.38,0.44 0.29,0.60 0.33,0.66 0.39,0.66 0.30,0.52 0.54,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.40,0.44 0.31,0.60 0.33,0.66 0.40,0.66 0.31,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.40,0.44 0.32,0.60 0.33,0.66 0.40,0.66 0.32,0.52 0.54,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.46 0.41,0.44 0.33,0.61 0.33,0.65 0.41,0.66 0.33,0.51 0.54,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.71,0.61 0.84,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.51 0.33,0.44 0.36,0.44 0.28,0.60 0.33,0.66 0.38,0.66 0.29,0.51 0.54,0.50 0.69,0.47 0.84,0.58 0.54,0.59 0.71,0.60 0.84,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.55 0.32,0.51 0.32,0.44 0.27,0.45 0.17,0.60 0.33,0.66 0.28,0.66 0.19,0.51 0.54,0.50 0.68,0.47 0.84,0.57 0.54,0.59 0.70,0.60 0.83,0.54 0.25,0.56 0.25,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.47 0.23,0.47 0.12,0.60 0.32,0.65 0.25,0.66 0.16,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.57 0.25
0.56 0.26,0.56 0.32,0.51 0.32,0.48 0.22,0.48 0.11,0.60 0.31,0.64 0.24,0.66 0.15,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.48 0.23,0.48 0.11,0.60 0.32,0.64 0.24,0.66 0.14,0.52 0.52,0.50 0.68,0.48 0.83,0.58 0.52,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.25,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.47 0.23,0.47 0.12,0.60 0.32,0.64 0.25,0.66 0.15,0.52 0.53,0.50 0.68,0.48 0.83,0.58 0.53,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.24,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.50 0.32,0.44 0.28,0.45 0.20,0.60 0.33,0.67 0.31,0.66 0.22,0.52 0.54,0.50 0.68,0.48 0.83,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.32,0.44 0.34,0.44 0.25,0.60 0.33,0.66 0.36,0.65 0.27,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.44 0.37,0.44 0.29,0.60 0.33,0.66 0.39,0.65 0.29,0.51 0.53,0.50 0.68,0.48 0.83,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.39,0.44 0.30,0.60 0.33,0.66 0.39,0.65 0.30,0.51 0.54,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.40,0.44 0.32,0.60 0.33,0.66 0.40,0.65 0.32,0.52 0.53,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.46 0.40,0.44 0.32,0.60 0.33,0.65 0.41,0.65 0.32,0.51 0.53,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.61 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.40,0.44 0.32,0.60 0.33,0.65 0.41,0.65 0.32,0.52 0.53,0.50 0.68,0.48 0.83,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.39,0.44 0.31,0.60 0.33,0.66 0.40,0.65 0.32,0.51 0.53,0.50 0.67,0.47 0.84,0.58 0.54,0.59 0.71,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.55 0.26,0.56 0.33,0.50 0.32,0.44 0.32,0.44 0.23,0.60 0.33,0.67 0.33,0.66 0.24,0.52 0.54,0.50 0.68,0.48 0.83,0.58 0.54,0.59 0.70,0.60 0.83,0.54 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.46 0.24,0.46 0.14,0.60 0.32,0.66 0.26,0.66 0.16,0.51 0.53,0.50 0.68,0.48 0.83,0.58 0.53,0.58 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.57 0.25
0.56 0.26,0.56 0.31,0.51 0.31,0.48 0.23,0.47 0.12,0.60 0.31,0.64 0.24,0.66 0.15,0.52 0.52,0.50 0.68,0.48 0.83,0.59 0.52,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.25,0.57 0.25
0.56 0.26,0.56 0.32,0.51 0.32,0.48 0.22,0.48 0.11,0.60 0.31,0.64 0.24,0.66 0.14,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.83,0.54 0.25,0.56 0.24,0.53 0.26,0.57 0.26
0.56 0.26,0.56 0.32,0.51 0.32,0.45 0.25,0.46 0.15,0.60 0.32,0.66 0.27,0.66 0.17,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.53,0.59 0.70,0.60 0.82,0.55 0.25,0.56 0.24,0.53 0.26,0.57 0.25
0.56 0.26,0.56 0.32,0.50 0.32,0.44 0.32,0.44 0.22,0.60 0.33,0.67 0.33,0.65 0.24,0.52 0.54,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.44 0.37,0.44 0.28,0.60 0.33,0.66 0.38,0.65 0.29,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.25,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.45 0.39,0.44 0.31,0.60 0.33,0.66 0.39,0.65 0.31,0.52 0.54,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.26,0.56 0.25,0.53 0.26,0.58 0.26
0.56 0.26,0.56 0.33,0.50 0.33,0.46 0.41,0.44 0.36,0.61 0.33,0.64 0.42,0.66 0.37,0.51 0.54,0.50 0.69,0.47 0.86,0.58 0.54,0.59 0.70,0.61 0.83,0.55 0.25,0.56 0.24,0.53 0.25,0.58 0.25
0.55 0.25,0.56 0.33,0.50 0.33,0.49 0.43,0.48 0.53,0.60 0.34,0.62 0.44,0.62 0.54,0.51 0.54,0.49 0.70,0.47 0.85,0.57 0.54,0.59 0.70,0.60 0.83,0.54 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.55 0.26,0.55 0.33,0.50 0.33,0.48 0.43,0.48 0.53,0.60 0.33,0.62 0.44,0.61 0.54,0.51 0.54,0.49 0.70,0.48 0.83,0.57 0.54,0.59 0.71,0.60 0.83,0.54 0.24,0.56 0.24,0.53 0.26,0.57 0.25
